01А	Автоматика и телемеханика
01Г	Вычислительная техника
02А	Автомобилестроение
02Б	Автомобильный транспорт
02В	Городской транспорт
03	Автомобильные дороги
04А2	Общая экология. Биоценология. Гидробиология
04А4	Радиационная биология
04Б1	Вирусология
04Б2	Микробиология общая
04Б3	Микробиология прикладная
04Б4	Микробиология санитарная и медицинская
04В1	Ботаника (Высшие растения)
04В2	Ботаника (Водоросли. Грибы. Лишайники)
04В3	Физиология и биохимия растений
04В4	Растениеводство (биологические основы)
04В5	Фитопатология
04В7	Лесоведение и лесоводство
04В8	Почвоведение и агрохимия
04Д6	Молекулярная биология
04И1	Зоология общая. Зоология беспозвоночных
04И11	Зоология наземных позвоночных. Орнитология
04И4	Ихтиология
04И8	Биология сельскохозяйственных животных
04И9	Энтомология. Зоопаразитология
04К1	Иммунология. Аллергология
04М1	Морфология и цитология человека и животных. Антропология
04М2	Физиология человека и животных (Кровь. Лимфа. Кровообращение. Дыхание. Почки)
04М3	Физиология человека и животных. (Нейрофизиология. Сенсорные системы. Высшая нервная деятельность. Нервно-мышечная система)
04М6	Физиология человека и животных (Эндокринная система. Размножение. Лактация)
04М7	Общие вопросы патологической анатомии
04М8	Физиология человека и животных (Общие проблемы. Обмен веществ. Питание. Пищеварение. Возрастная физиология. Прикладная физиология)
04Н4	Онкология
04П1	Психология
04Р1	Биотехнология. Бионанотехнологии. Бионаноматериалы
04Т4	Токсикология
04Т5	Наркологическая токсикология
04Т6	Фармакология
04Я2	Генетика и селекция микроорганизмов
04Я3	Генетика и селекция растений
04Я4	Генетика и селекция сельскохозяйственных животных
04Я7	Общая генетика. Генетика человека
05А	Судостроение
05Б	Водные перевозки. Техническая эксплуатация и ремонт флота
06А	Авиастроение
06Б	Воздушный транспорт. Аэропорты
07Д	Биогеография. География почв
07П	Теоретические и общие вопросы географии. География Российской Федерации
07Р	География зарубежной Европы. География зарубежной Азии и Африки. География Америки, Австралии, Океании и Антарктики
08Е	Гидрогеология. Инженерная геология. Мерзлотоведение
08К	Месторождения горючих полезных ископаемых
08М	Методы поисков и разведки месторождений полезных ископаемых
08Н	Месторождения рудных и неметаллических полезных ископаемых
08П	Геохимия
09А	Геомагнетизм и высокие слои атмосферы
09Б	Метеорология и климатология
09Г	Физика Земли
09И	Океанология. Гидрология суши. Гляциология
10АВ	Разработка месторождений твердых полезных ископаемых
10Г	Разработка нефтяных и газовых месторождений
10Д	Обогащение полезных ископаемых
11Б	Локомотивостроение и вагоностроение
11Е	Управление перевозочным процессом, автоматика и телемеханика на железных дорогах
11Ж	Техническая эксплуатация подвижного состава. Тяга поездов. Строительство железных дорог. Путевое хозяйство
12	Легкая промышленность
13А	Общие вопросы математики. Математическая логика. Теория чисел. Алгебра. Топология. Геометрия
13Б	Математический анализ
13В	Теория вероятностей и математическая статистика
13Д	Вычислительные науки. Математическая кибернетика
14А	Резание материалов. Станки и инструменты
14Б	Технология и оборудование механосборочного производства
14Д	Технология и оборудование литейного и кузнечно-штамповочного производства
15А	Теория металлургических процессов
15Б	Металлургическая теплотехника. Оборудование, измерения, контроль и автоматизация в металлургическом производстве
15В	Производство чугуна и стали
15Г	Металлургия цветных металлов
15Д	Прокатное и волочильное производство
15Е	Порошковая металлургия. Наноматериалы, покрытия и пленки, получаемые физико-металлургическими методами
15И	Металловедение и термическая обработка
16А	Общие вопросы механики. Общая механика
16Б	Механика жидкости и газа
16В	Механика деформируемого твердого тела
16Г	Комплексные и специальные разделы механики
16Д	Прочность конструкций и материалов
17А	Транспорт промышленных предприятий. Логистика. Склады, автоматизация погрузочно-разгрузочных работ
17Г	Строительно-дорожные и подъемно-транспортные машины
18Б	Физика элементарных частиц и теория полей
18В	Ядерная физика и физика ядерных реакторов
